Stage,Name,Supplier Type,Currencies,GST Status,Due Days,When,Date Option,Exact Day,About Us,Status,Address 1,Address 2,Address 3,City,Zip Code,State/Province/Region,Country,Email,Office Phone 1,Office Phone 2,Website URL,Notes,Gender,Date of Birth ,Weight ,Medical Information,Age ,Height,Dietary Requirements,Full Address,Contact Phone ,Passport Information,Guide Notes,Contact Email ,Emergency Contacts,Insurance Detail ,Is Upgrade,Unit Number,Show Internal Rate Name ,Duration ,Include Package Name,Tour Extras,Include Sub Tours,Meeting Points,Insurance Policy
Stage4,Freycinet Lodge,Accommodation,AUD,GST is Additional,,,,,,Active,Freycinet National Park,Coles Bay Rd,,Coles Bay,7215,TAS,Australia,trade.groups@nrmaparks.com.au,1300 061 835,,https://www.freycinetlodge.com.au/,Contact: Susanne / Mountain Terrace or Spa Cabins Held / 1 x Family Cabin,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Stage4,Georges on Waymouth Restaurant,Restaurant,AUD,GST is Additional,,,,,,Active,20 Waymouth St,,,Adelaide,5000,SA,Australia,info@georgesonwaymouth.com.au,+61 8 8211 6960,,https://georgesonwaymouth.com.au/,6:30pm - 2-course meal $88 pp,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Giant Wollongong Bike Hire,Miscellaneous,AUD,GST is Additional,,,,,,Active,Unit 3,9-15 Ellen Street,,Wollongong ,2500,NSW,Australia,bookings@giantwollongong.com.au,+61 477 051 274,,https://wollongongebikehire.com.au/,"2.5 day bike hire, $230 per bike. E-Bikes only. For groups of 3+ will need to request bike delivery to Thirroul and pick-up from Kiama. Most bikes do not have racks, panniers no supplied.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stage4,Grand Hotel Esk,Restaurant,AUD,GST is Additional,,,,,,Active,121 Ipswich St,,,Esk,4312,QLD,Australia,info@grandhotelesk.com,+61 7 5424 1141,,https://www.grandhotelesk.com/,Book dinner for 6:30pm - One Main meal per guest. Will invoice post-visit.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Grant St Grocer,Restaurant,AUD,GST is Additional,,,,,,Active,100 Grant Street,,,Alexandra,3714,Victoria,Australia,admin@grantstgrocer.com.au,+6103 5772 1526,,"Grant St Grocer | Cafe & Local Produce Store, Alexandra, Victoria","Contact: Lisa - $25pp - breakfast item / coffee - pay via CC. 
",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stage4,Grape Escape,Restaurant,New Zealand Dollar,GST is Additional,,,,,,Active,143 McShane Road,,,Appleby,7022,Richmond,New Zealand,info@thegrapeescapecafe.co.nz,+64 3 544 4341,,https://www.thegrapeescapecafe.co.nz/,contact: Nicki / $32.50pp - 1 menu item & drink. Will send an invoice after visit & then call to make payment via CC,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
